key,en,fr,es,nl
about-cytomine,About Cytomine,À propos de Cytomine,Sobre Cytomine,Over Cytomine
absolute-link-mode,Absolute,Absolu,,Absoluut
access-denied,Access denied,Accès non autorisé,Acceso denegado,Verboden Acces
account,Account,Compte,Cuenta,Rekening
actions,Actions,Actions,Acciones,Acties
active-projects,Active projects,Projets actifs,Proyectos activos,Actieve projecten
activity-chart-info-message,This chart presents the activity performed in the selected period,Ce graphique présente un résumé de l'activité ayant eu lieu durant la période sélectionnée,Este gráfico presenta la actividad en el período seleccionado,Deze grafiek toont een samenvatting van de activiteit die plaatsvond tijdens de geselecteerde periode
activity,Activity,Activité,Actividad,Activiteit
activity-charts,Activity charts,Graphiques d'activité,Gráficos de actividad,Activiteit grafieken
activity-history,Activity history,Historique de l'activité,Historial de actividad,Activiteit geschiedenis
activity-logs,Activity logs,Logs d'activité,Registros de actividad,Activiteitenlogboeken
activity-of-user,Activity of {username},Activité de l'utilisateur {username},Actividad de {username},Usersactiviteit {username}
add-attached-file,Add an attached file,Ajouter un fichier joint,Adjuntar archivo,Voeg een bijgevoegd file toe
add-files,Add files...,Ajouter des fichiers...,Agregar archivos...,Files toevoegen...
add-image,Add image,Ajouter une image,Añadir imagen,Voeg een afbeelging toe
add-images,Add images,Ajout d'images,Añadir imágenes,Afbeeldingen toevoegen
add-images-to-image-group,Add images to image group,Ajouter des images au groupe d'images,Agregar imágenes al grupo de imágenes,Voeg afbeeldingen toe aan de afbeeldingengroep
add-inputs,Add inputs,Ajouter des entrées,Añadir entradas,Invoeren toevoegen
add-members-to-project,Add members to project,Ajouter des membres au projet,Agregar miembros al proyecto,Voeg projectleden toe
add-new-comment,Add new comment,Ajouter un nouveau commentaire,Añadir nuevo comentario,Voeg een nieuwe commentaar toe
add-term,Add a term,Nouveau terme,Agregar un término,Nieuwe term
add-to-image-group,Add image to image group,Ajouter l'image à un groupe d'images,Agregar imagen al grupo de imágenes,Afbeelding toevoegen aan afbeeldingsgroep
add-track,Add a track,Ajouter une trace,,Track toevoegen
admin-menu,Admin,Administration,Administración,Administratie
admin,Admin,Admin,Admin,Admin
admin-warning, I confirm that I want to make this user an admin., Je confirme que je veux faire de cet utilisateur un administrateur., Confirmo que quiero hacer de este usuario un administrador.,Ik bevestig dat ik deze user een beheerder wil maken.
advanced-search,Advanced search,Recherche avancée,Búsqueda avanzada,geavanceerd zoeken
all-annotations-uncategorized,All annotations uncategorized,Toutes les annotations non classées,Todas las anotaciones sin categorizar,Alle annotaties ongecategoriseerd
all,All,Tous,Todos,Alle
all-channels,All channels,Tous les canaux,,Alle kanalen
all-dates,All,Toutes,Todas,Alle
all-draw-tools,All draw tools,Tous les outils de tracé,Todas las herramientas de dibujo,Alle draw tools
all-image-groups,All,Tous,Todo,Alle
all-images,All,Toutes,Todas,Alle
all-images-have-linked-annot,All images in the image group already have annotations linked to the copied annotation.,Toutes les images du groupe d'images ont déjà une annotation liée à l'annotation copiée.,Todas las imágenes del grupo de imágenes ya tienen anotaciones vinculadas a la anotación copiada.,Alle afbeeldingen in de afbeeldingsgroep hebben al annotaties gekoppeld aan de gekopieerde annotatie.
